domain,file_name,file_size,harmonic_score,content_length,word_count,real_mode,processing_timestamp
mathematics,dual_math_generator.py,32976,0.4102130661166672,32388,2595,True,2026-05-08T22:09:14.314103
mathematics,harmonic_hybrid_generator.py,26498,0.40368497298793604,26183,1871,True,2026-05-08T22:09:14.337500
mathematics,harmonic_math_system.py,38421,0.4087088503897235,37899,2984,True,2026-05-08T22:09:14.364502
mathematics,launch_dual_math.py,10832,0.4198160674349446,10288,947,True,2026-05-08T22:09:14.387608
mathematics,launch_hybrid_generation.py,5737,0.3884911810197357,5484,470,True,2026-05-08T22:09:14.409575
mathematics,launch_mathstral_aws.py,7606,0.40548111280884,7256,659,True,2026-05-08T22:09:14.422418
mathematics,launch_math_generation.py,4182,0.39291219993015886,4013,339,True,2026-05-08T22:09:14.454373
mathematics,mathstral_aws_generator.py,23821,0.40681750963671187,23461,1816,True,2026-05-08T22:09:14.481590
mathematics,README.md,8938,0.37063337311564504,8205,1077,True,2026-05-08T22:09:14.496695
mathematics,README_DUAL.md,10526,0.39072962560417557,9476,1169,True,2026-05-08T22:09:14.510306
mathematics,README_HYBRID.md,8386,0.37159505725349634,7779,1026,True,2026-05-08T22:09:14.533499
mathematics,README_MATHSTRAL.md,9635,0.3837032996142722,8718,1097,True,2026-05-08T22:09:14.549220
