domain,file_name,file_size,harmonic_score,content_length,word_count,processing_timestamp
mathematics,dual_math_generator.py,32976,0.578586374533307,32388,2595,2026-05-08T21:22:43.112662
mathematics,harmonic_hybrid_generator.py,26498,0.373978300741917,26183,1871,2026-05-08T21:22:43.181573
mathematics,harmonic_math_system.py,38421,0.3788393349538391,37899,2984,2026-05-08T21:22:43.207468
mathematics,launch_dual_math.py,10832,0.4909136619382078,10288,947,2026-05-08T21:22:43.239747
mathematics,launch_hybrid_generation.py,5737,0.40136392337228377,5484,470,2026-05-08T21:22:43.263986
mathematics,launch_mathstral_aws.py,7606,0.3744800245490375,7256,659,2026-05-08T21:22:43.284837
mathematics,launch_math_generation.py,4182,0.4208529558643087,4013,339,2026-05-08T21:22:43.319154
mathematics,mathstral_aws_generator.py,23821,0.3796393037708764,23461,1816,2026-05-08T21:22:43.352483
mathematics,README.md,8938,0.3742580487491026,8205,1077,2026-05-08T21:22:43.371812
mathematics,README_DUAL.md,10526,0.47983509750293635,9476,1169,2026-05-08T21:22:43.394896
mathematics,README_HYBRID.md,8386,0.5924031237181435,7779,1026,2026-05-08T21:22:43.419134
mathematics,README_MATHSTRAL.md,9635,0.37899493202106205,8718,1097,2026-05-08T21:22:43.437980
